Station,Line Served
Acton Town,District Piccadilly
Aldgate,Circle Met
Aldgate East,District H&C
Alperton,Piccadilly
Amersham,Met
Angel,Northern
Archway,Northern
Arnos Grove,Piccadilly
Arsenal,Piccadilly
Baker Street,Met Bakerloo Circle Jubilee H&C
Balham,Northern
Bank,Central Northern W&C
Barbican,Met Circle H&C
Barking,District H&C
Barkingside,Central
Barons Court,District Piccadilly
Battersea Power Station,Northern
Bayswater,District Circle
Becontree,District
Belsize Park,Northern
Bermondsey,Jubilee
Bethnal Green,Central
Blackfriars,District Circle
Blackhorse Road,Victoria
Bond Street,Central Jubilee
Borough,Northern
Boston Manor,Piccadilly
Bounds Green,Piccadilly
Bow Road,District H&C
Brent Cross,Northern
Brixton,Victoria
Bromley-by-Bow,District H&C
Buckhurst Hill,Central
Burnt Oak,Northern
Caledonian Road,Piccadilly
Camden Town,Northern
Canada Water,Jubilee
Canary Wharf,Jubilee
Canning Town,Jubilee
Cannon Street,District Circle
Canons Park,Jubilee
Chalfont & Latimer,Met
Chalk Farm,Northern
Chancery Lane,Central
Charing Cross,Bakerloo Northern
Chesham,Met
Chigwell,Central
Chiswick Park,District
Chorleywood,Met
Clapham Common,Northern
Clapham North,Northern
Clapham South,Northern
Cockfosters,Piccadilly
Colindale,Northern
Colliers Wood,Northern
Covent Garden,Piccadilly
Croxley,Met
Dagenham East,District
Dagenham Heathway,District
Debden,Central
Dollis Hill,Jubilee
Ealing Broadway,District Central
Ealing Common,District Piccadilly
Earl's Court,District Piccadilly
East Acton,Central
East Finchley,Northern
East Ham,District H&C
East Putney,District
Eastcote,Met Piccadilly
Edgware,Northern
Edgware Road,Bakerloo
Edgware Road,H&C District Circle
Elephant & Castle,Northern Bakerloo
Elm Park,District
Embankment,District Bakerloo Northern Circle
Epping,Central
Euston,Northern Victoria
Euston Square,Met Circle H&C
Fairlop,Central
Farringdon,Met Circle H&C
Finchley Central,Northern
Finchley Road,Met Jubilee
Finsbury Park,Piccadilly Victoria
Fulham Broadway,District
Gants Hill,Central
Gloucester Road,District Piccadilly Circle
Golders Green,Northern
Goldhawk Road,H&C Circle
Goodge Street,Northern
Grange Hill,Central
Great Portland Street,Met Circle H&C
Greenford,Central
Green Park,Piccadilly Victoria Jubilee
Gunnersbury,District
Hainault,Central
Hammersmith,District Piccadilly
Hammersmith,H&C Circle
Hampstead,Northern
Hanger Lane,Central
Harlesden,Bakerloo
Harrow & Wealdstone,Bakerloo
Harrow-on-the-Hill,Met
Hatton Cross,Piccadilly
Heathrow Terminals 2 & 3,Piccadilly
Heathrow Terminal 4,Piccadilly
Heathrow Terminal 5,Piccadilly
Hendon Central,Northern
High Barnet,Northern
Highbury & Islington,Victoria
Highgate,Northern
High Street Kensington,District Circle
Hillingdon,Met Piccadilly
Holborn,Central Piccadilly
Holland Park,Central
Holloway Road,Piccadilly
Hornchurch,District
Hounslow Central,Piccadilly
Hounslow East,Piccadilly
Hounslow West,Piccadilly
Hyde Park Corner,Piccadilly
Ickenham,Met Piccadilly
Kennington,Northern
Kensal Green,Bakerloo
Kensington (Olympia),District
Kentish Town,Northern
